Dates;S&P500 COMPOSITE;S&P500 ES ENERGY;S&P500 ES HEALTH CARE;S&P500 ES REAL ESTATE;S&P500 ES INFO TECHNOLOGY;S&P500 ES FINANCIALS;S&P500 TRANSPORTATION;S&P500 PHARMACEUTICALS;S&P500 TELECOM SERV;S&P500 HOTELS REST & LEISURE IN;S&P500 FOOD RETAIL;S&P500 FOOD DISTRIBUTORS
22.08.2022;-2,140012487;-0,248508946;-1,382372329;-2,096976203;-2,781167457;-2,191114865;-1,067087945;-0,847988638;-1,100987092;-2,527673487;1,252882185;-2,087381443
19.08.2022;-1,289994257;0,023199549;0,274771564;-0,963957898;-1,828796725;-2,020167897;-1,241445322;1,247673828;0,167325829;-1,749777109;-0,24110409;0,416316516
18.08.2022;0,226951549;2,528118523;-0,43359874;-0,745717401;0,492595824;0,128536878;0,613455575;-0,522756198;-0,956685499;0,220312393;2,203591458;0,876962203
17.08.2022;-0,723775899;0,80668642;-0,629632479;-0,294602462;-0,704371872;-0,526581427;-0,912265969;0,246733939;-0,910651638;-1,019443694;-1,08147484;-0,84635228
16.08.2022;0,187566614;-0,339671594;-0,265380902;-0,419096846;-0,286298414;0,686033709;0,71697678;-0,054799718;0,585629552;0,899182561;3,284428625;1,33940373
15.08.2022;0,396948705;-1,980926886;0,48901798;0,477243219;0,625903841;0,018636487;-0,087383209;0,065380843;0,611874906;0,603070175;0,655365257;0,459338238
12.08.2022;1,732239671;0,802779371;1,311823337;1,716876071;2,074349586;1,634093844;0,472749375;1,353098981;1,200214051;1,710509807;0,043710115;3,051988202
11.08.2022;-0,070542297;3,188193937;-0,714248778;-0,55021121;-0,483883405;1,017568273;0,624235481;-1,589288344;-0,122165381;0,211646864;0,855228355;0,660136721
10.08.2022;2,129063401;0,709816499;1,118983503;1,440351446;2,773407935;2,317220759;3,256914302;0,39599151;-0,099160946;2,010089638;-0,17309667;-0,752382206
09.08.2022;-0,424873069;1,774820734;-0,294562327;0,736360998;-1,002290951;0,565578465;-0,410310678;0,311424183;0,444376341;-0,204083084;-0,467221492;-5,072575219
08.08.2022;-0,123757898;0,491145049;0,225338498;0,705022831;-0,879161045;-0,180444143;-0,224119211;0,452223877;-0,95613902;0,294545558;-0,337592037;0,567462274
05.08.2022;-0,162574604;2,039397875;-0,029383342;0,315145297;-0,239338386;0,785062211;0,487458211;-0,469165352;0,741533522;-0,776993079;1,177821619;-0,046380845
04.08.2022;-0,077734485;-3,595359007;-0,493801492;0,124747753;0,415225453;-0,344524395;0,656900478;-1,372510106;-1,133701156;-0,415774044;-0,573820886;-0,127384847
03.08.2022;1,563848171;-2,966841187;0,923940485;0,40893015;2,690789237;1,489683306;1,018798408;0,009401638;0,288031532;1,438252366;0,405655663;1,159759848
02.08.2022;-0,666240959;-0,206600987;-0,369777545;-1,301723511;-0,693947916;-1,068391467;-1,680142497;-0,957031856;-1,801265352;-0,043586061;0,085319212;-0,686425642
01.08.2022;-0,282304632;-2,18291746;-0,728331647;-0,890122167;-0,203360805;-0,892793372;0,534199857;-0,620013161;0,119233922;-0,217456402;0,645505152;1,295372407
29.07.2022;1,420773347;4,514034353;-0,351575628;0,300007229;1,546989349;1,403248293;2,10578217;-0,305471841;1,183833509;0,300347545;0,869149667;-2,726456371
28.07.2022;1,213338271;0,448870809;0,546490698;3,699538963;1,432777072;0,698318929;1,485520088;-0,262751633;1,066910532;1,650831958;0,218510536;1,053220964
27.07.2022;2,615625917;2,204222071;0,64747778;0,546468682;4,294261684;1,540341393;1,498254153;-0,130693595;1,210952565;3,782637888;-0,173310225;0,220590369
26.07.2022;-1,154319307;-0,877504618;0,549764903;0,203927492;-1,583795745;-1,387519626;-1,65247976;0,698128727;-0,30757401;-0,418450905;0,676874944;-1,912236415
25.07.2022;0,131511524;3,714075166;0,549479614;0,068022069;-0,61272519;0,654195303;0,703155291;0,401564968;0,868688436;-0,847684882;-1,144947362;1,151918905
22.07.2022;-0,933244977;-0,88198236;-0,385327265;0,788421253;-1,38024524;-0,590051333;0,004191862;0,132309314;-4,134136367;-0,667406585;-0,089137152;-0,069067398
21.07.2022;0,986136014;-1,692815855;1,505679729;1,0118498;1,40674337;0,639788208;-0,098411801;0,793907127;-4,542550926;-0,498428148;-1,949016752;-1,484638574
20.07.2022;0,589581603;1,015486164;-1,059086579;-0,531935249;1,558117398;0,32092071;0,24032407;-1,117796139;-1,791440123;0,85838822;-0,20932058;0,995475977
19.07.2022;2,762833314;3,161478599;1,80348845;2,837465565;3,07513856;3,070108737;3,357087848;0,173378192;1,042400338;3,017762343;-0,486040793;1,169336539
18.07.2022;-0,836361942;1,962729128;-2,148914999;-1,078366489;-1,027177033;-0,527579752;0,143383192;-2,378625616;-1,121247998;0,575482005;-0,460763139;-1,449289154
15.07.2022;1,920124104;1,898931001;2,446549245;1,698471771;1,758461829;3,507467069;2,125464529;1,379866814;1,13396253;1,78705676;0,526879541;1,0150918
14.07.2022;-0,299859539;-1,899096213;-0,368589205;-0,999490456;0,925934134;-1,915951544;-0,138473468;0,103264593;-0,14066676;-0,817100071;-0,937768856;0,544134845
13.07.2022;-0,445689745;-0,137095853;-0,937487507;-0,545745137;-0,218924836;-0,928162505;-1,105402119;-0,484315701;-0,44811651;0,483891109;0,736674852;-0,138981382
12.07.2022;-0,924390896;-2,031451116;-1,327407446;-0,585180592;-1,337004569;-0,65002551;-0,827891918;-1,455858024;0,161301634;0,1;-0,628696102;0,057942463
11.07.2022;-1,15274736;-0,887459094;-0,231545253;0,007751337;-1,422088397;-0,830147665;-0,718392354;0,149619424;-0,363356858;-1,495271003;-0,249133759;0,220667228
08.07.2022;-0,08302115;-0,012940437;0,266361502;-0,551165928;0,071887322;-0,198242005;-0,755783456;-0,040150162;-0,865890828;-0,669627501;-1,478346734;0,11627569
07.07.2022;1,496457811;3,509376196;0,464498566;0,065566183;2,063608525;1,461100569;1,197079343;0,04217545;-0,701609575;1,381784928;2,828546562;1,449944951
06.07.2022;0,357311576;-1,741059677;0,658437309;0,011571842;0,88469295;-0,251736604;0,246522084;0,839451167;-0,164812526;-1,419469189;0,361031852;-0,445279547
05.07.2022;0,158417705;-4,013715936;-0,589102594;-0,491306184;1,240744896;-0,47471037;-0,836761507;-0,466649197;-0,328542094;0,730308977;-1,890996344;-1,298212061
04.07.2022;0;0;0;0;0;0;0;0;0;0;0;0
01.07.2022;1,055376211;1,438927944;1,215276616;1,861047034;0,24921726;1,43307538;0,953457779;0,605347745;1,719696442;2,280240539;1,711264127;1,900665381
30.06.2022;-0,87592273;-2,037302726;-0,334151482;0,031287888;-1,327639855;-0,882559042;-0,262407425;0,209317685;-0,208434656;-0,893957596;-1,620648259;-0,691084328
29.06.2022;-0,071175308;-3,432510131;0,873286058;-0,76072191;0,203710375;-0,639807305;-0,282210977;0,53015445;1,16679553;-0,461223095;-0,661574718;0,29312576
28.06.2022;-2,014302161;2,699914627;-1,736083565;-1,389314146;-3,006497036;-0,924734791;-0,882034574;-2,552259606;-1,208249427;-1,907946349;-0,553437809;-1,219216951
27.06.2022;-0,297310148;2,782347995;0,390251673;-0,263388938;-0,634862118;-0,436219186;-0,937466822;0,493162744;-0,380464859;-0,416407518;0,51370835;0,619719957
24.06.2022;3,056329086;1,535034803;1,630299147;2,064908248;3,572300684;3,79761469;3,743763148;2,247110566;-0,234644582;4,203155133;1,509651397;5,86433125
23.06.2022;0,953219376;-3,744796412;2,215925152;2,006994675;1,436658665;-0,456472123;0,379223421;2,285923524;2,128559346;-0,048188964;0,824957881;3,230821655
22.06.2022;-0,130153342;-4,190417501;1,423017216;1,545663667;-0,410391195;-0,256346489;-0,045309375;1,67427216;0,874511198;-0,254515082;-2,190527602;-2,210744447
21.06.2022;2,447725615;5,136326824;2,64423422;1,883146252;2,535825316;2,021976306;1,19435032;2,779083624;3,191489362;1,001193792;4,76232997;1,650224405
20.06.2022;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2022;0,220084707;-5,567546439;0,020101368;0,641397004;0,986438789;0,311288617;-0,069286904;-0,111388977;1,406145376;1,350261341;-7,267457908;0,420936264
16.06.2022;-3,251195913;-5,583992555;-1,52073244;-2,552522279;-4,113005219;-2,571243276;-2,333526157;-0,794115098;-1,480612768;-4,408102211;-2,083727467;-2,896306848
15.06.2022;1,459250217;-2,124886139;1,022040653;2,331435174;2,170757786;1,237810177;0,721156489;0,789465064;0,176224392;1,62514986;0,97423862;0,798002393
