S&P 500 COMPOSITE;31.05.2018;-0.7;0.08;-0.42;0.006
S&P 500 COMPOSITE;01.06.2018;1.06;-0.23;-0.11;0.006
S&P 500 COMPOSITE;04.06.2018;0.48;0.17;-0.45;0.006
S&P 500 COMPOSITE;05.06.2018;0.17;0.82;-0.44;0.006
S&P 500 COMPOSITE;06.06.2018;0.86;-0.33;0.2;0.006
S&P 500 COMPOSITE;07.06.2018;-0.14;-0.3;0.93;0.006
S&P 500 COMPOSITE;08.06.2018;0.31;0.08;-0.4;0.006
S&P 500 COMPOSITE;11.06.2018;0.12;0.17;-0.17;0.006
S&P 500 COMPOSITE;12.06.2018;0.23;0.23;-0.63;0.006
S&P 500 COMPOSITE;13.06.2018;-0.33;0.08;-0.2;0.006
S&P 500 COMPOSITE;14.06.2018;0.27;0.32;-1.0;0.006
S&P 500 COMPOSITE;15.06.2018;-0.08;0.05;-0.24;0.006
S&P 500 COMPOSITE;18.06.2018;-0.09;0.72;0.08;0.006
S&P 500 COMPOSITE;19.06.2018;-0.38;0.57;-0.14;0.006
S&P 500 COMPOSITE;20.06.2018;0.23;0.73;-0.51;0.006
S&P 500 COMPOSITE;21.06.2018;-0.73;-0.63;0.33;0.006
S&P 500 COMPOSITE;22.06.2018;0.11;0.0;0.46;0.006
S&P 500 COMPOSITE;25.06.2018;-1.48;-0.54;0.57;0.006
S&P 500 COMPOSITE;26.06.2018;0.27;0.63;-0.24;0.006
S&P 500 COMPOSITE;27.06.2018;-1.02;-0.99;0.36;0.006
S&P 500 COMPOSITE;28.06.2018;0.58;-0.18;-0.51;0.006
S&P 500 COMPOSITE;29.06.2018;0.07;-0.2;-0.24;0.006
S&P 500 COMPOSITE;02.07.2018;0.36;0.44;-0.25;0.008
S&P 500 COMPOSITE;03.07.2018;-0.44;0.81;-0.02;0.008
S&P 500 COMPOSITE;05.07.2018;0.87;0.44;-0.43;0.008
S&P 500 COMPOSITE;06.07.2018;0.88;0.05;-0.3;0.008
S&P 500 COMPOSITE;09.07.2018;0.93;-0.41;0.86;0.008
S&P 500 COMPOSITE;10.07.2018;0.21;-0.78;-0.17;0.008
S&P 500 COMPOSITE;11.07.2018;-0.69;-0.02;-0.45;0.008
S&P 500 COMPOSITE;12.07.2018;0.86;-0.35;-1.14;0.008
S&P 500 COMPOSITE;13.07.2018;0.08;-0.12;-0.29;0.008
S&P 500 COMPOSITE;16.07.2018;-0.16;-0.77;0.98;0.008
S&P 500 COMPOSITE;17.07.2018;0.48;0.26;-0.76;0.008
S&P 500 COMPOSITE;18.07.2018;0.27;-0.28;0.67;0.008
S&P 500 COMPOSITE;19.07.2018;-0.34;0.96;-0.36;0.008
S&P 500 COMPOSITE;20.07.2018;-0.1;-0.18;0.12;0.008
S&P 500 COMPOSITE;23.07.2018;0.15;-0.3;0.55;0.008
S&P 500 COMPOSITE;24.07.2018;0.22;-1.36;0.39;0.008
S&P 500 COMPOSITE;25.07.2018;0.83;-0.43;-1.06;0.008
S&P 500 COMPOSITE;26.07.2018;-0.2;0.64;0.57;0.008
S&P 500 COMPOSITE;27.07.2018;-0.82;-1.38;1.06;0.008
S&P 500 COMPOSITE;30.07.2018;-0.7;-0.21;1.56;0.008
S&P 500 COMPOSITE;31.07.2018;0.51;0.85;-1.11;0.008
S&P 500 COMPOSITE;01.08.2018;-0.13;0.04;-0.18;0.007
S&P 500 COMPOSITE;02.08.2018;0.67;0.31;-0.67;0.007
S&P 500 COMPOSITE;03.08.2018;0.31;-1.07;0.52;0.007
S&P 500 COMPOSITE;06.08.2018;0.46;0.25;-0.33;0.007
S&P 500 COMPOSITE;07.08.2018;0.29;0.03;-0.17;0.007
S&P 500 COMPOSITE;08.08.2018;-0.04;-0.12;0.27;0.007
S&P 500 COMPOSITE;09.08.2018;-0.05;0.37;-0.35;0.007
S&P 500 COMPOSITE;10.08.2018;-0.6;0.39;-0.21;0.007
S&P 500 COMPOSITE;13.08.2018;-0.46;-0.15;-0.3;0.007
S&P 500 COMPOSITE;14.08.2018;0.69;0.3;0.21;0.007
S&P 500 COMPOSITE;15.08.2018;-0.91;-0.54;-0.12;0.007
S&P 500 COMPOSITE;16.08.2018;0.86;-0.07;0.26;0.007
S&P 500 COMPOSITE;17.08.2018;0.3;0.09;0.02;0.007
S&P 500 COMPOSITE;20.08.2018;0.25;0.12;0.14;0.007
S&P 500 COMPOSITE;21.08.2018;0.33;0.9;0.12;0.007
S&P 500 COMPOSITE;22.08.2018;0.05;0.36;-0.35;0.007
S&P 500 COMPOSITE;23.08.2018;-0.19;-0.06;-0.33;0.007
S&P 500 COMPOSITE;24.08.2018;0.62;-0.02;-0.57;0.007
S&P 500 COMPOSITE;27.08.2018;0.74;-0.67;-0.16;0.007
S&P 500 COMPOSITE;28.08.2018;-0.01;-0.12;-0.28;0.007
S&P 500 COMPOSITE;29.08.2018;0.56;-0.05;-0.58;0.007
S&P 500 COMPOSITE;30.08.2018;-0.41;0.29;-0.42;0.007
S&P 500 COMPOSITE;31.08.2018;0.08;0.5;-0.39;0.007
S&P 500 COMPOSITE;04.09.2018;-0.11;-0.37;0.01;0.008
S&P 500 COMPOSITE;05.09.2018;-0.41;-0.18;0.66;0.008
S&P 500 COMPOSITE;06.09.2018;-0.44;-0.35;-0.24;0.008
S&P 500 COMPOSITE;07.09.2018;-0.18;0.1;-0.21;0.008
S&P 500 COMPOSITE;10.09.2018;0.23;0.12;-0.37;0.008
S&P 500 COMPOSITE;11.09.2018;0.37;-0.29;-0.24;0.008
S&P 500 COMPOSITE;12.09.2018;0.03;-0.06;-0.22;0.008
S&P 500 COMPOSITE;13.09.2018;0.45;-0.44;-0.4;0.008
S&P 500 COMPOSITE;14.09.2018;0.12;0.27;0.25;0.008
S&P 500 COMPOSITE;17.09.2018;-0.71;-0.45;0.84;0.008
S&P 500 COMPOSITE;18.09.2018;0.57;0.05;-0.48;0.008
S&P 500 COMPOSITE;19.09.2018;0.06;-0.66;1.28;0.008
S&P 500 COMPOSITE;20.09.2018;0.77;0.31;-0.22;0.008
S&P 500 COMPOSITE;21.09.2018;-0.13;-0.42;0.3;0.008
S&P 500 COMPOSITE;24.09.2018;-0.31;0.06;-0.91;0.008
S&P 500 COMPOSITE;25.09.2018;-0.05;0.27;-0.38;0.008
S&P 500 COMPOSITE;26.09.2018;-0.4;-0.38;-0.63;0.008
S&P 500 COMPOSITE;27.09.2018;0.27;-0.26;-0.56;0.008
S&P 500 COMPOSITE;28.09.2018;-0.03;0.4;-0.2;0.008
S&P 500 COMPOSITE;01.10.2018;0.16;-1.62;0.34;0.008
S&P 500 COMPOSITE;02.10.2018;-0.21;-0.98;0.6;0.008
S&P 500 COMPOSITE;03.10.2018;0.2;0.84;0.5;0.008
S&P 500 COMPOSITE;04.10.2018;-0.93;-1.06;1.58;0.008
S&P 500 COMPOSITE;05.10.2018;-0.64;-0.42;0.39;0.008
S&P 500 COMPOSITE;08.10.2018;-0.17;-0.4;1.22;0.008
S&P 500 COMPOSITE;09.10.2018;-0.18;-0.29;0.28;0.008
S&P 500 COMPOSITE;10.10.2018;-3.33;0.3;1.12;0.008
S&P 500 COMPOSITE;11.10.2018;-1.96;0.45;-0.92;0.008
S&P 500 COMPOSITE;12.10.2018;1.38;-0.88;-1.74;0.008
S&P 500 COMPOSITE;15.10.2018;-0.48;0.92;0.51;0.008
S&P 500 COMPOSITE;16.10.2018;2.24;0.68;-1.43;0.008
S&P 500 COMPOSITE;17.10.2018;-0.08;-0.68;0.26;0.008
S&P 500 COMPOSITE;18.10.2018;-1.54;-0.54;0.43;0.008
S&P 500 COMPOSITE;19.10.2018;-0.25;-1.33;0.72;0.008
S&P 500 COMPOSITE;22.10.2018;-0.38;0.48;-1.25;0.008
S&P 500 COMPOSITE;23.10.2018;-0.62;-0.09;-0.42;0.008
S&P 500 COMPOSITE;24.10.2018;-3.33;-0.93;0.77;0.008
S&P 500 COMPOSITE;25.10.2018;1.93;0.41;-0.59;0.008
S&P 500 COMPOSITE;26.10.2018;-1.65;0.58;0.35;0.008
S&P 500 COMPOSITE;29.10.2018;-0.77;-0.33;1.61;0.008
S&P 500 COMPOSITE;30.10.2018;1.66;0.42;0.07;0.008
S&P 500 COMPOSITE;31.10.2018;1.22;-0.66;-0.73;0.008
S&P 500 COMPOSITE;01.11.2018;1.29;1.35;-1.14;0.008
S&P 500 COMPOSITE;02.11.2018;-0.53;0.8;0.67;0.008
